STATE00,COUNTY00,TRACT00,GEOID00,POP00,HU00,PART00,AREA00,AREALAND00,STATE10,COUNTY10,TRACT10,GEOID10,POP10,HU10,PART10,AREA10,AREALAND10,AREAPT,AREALANDPT,AREAPCT00PT,AREALANDPCT00PT,AREAPCT10PT,AREALANDPCT10PT,POP10PT,POPPCT00,POPPCT10,HU10PT,HUPCT00,HUPCT10
13,29,920200,13029920200,0,0,P,442647735,436712600,13,29,920301,13029920301,1858,711,P,67741488,66144462,59493,59493,0.01,0.01,0.09,0.09,0,0,0,0,0,0
13,29,920200,13029920200,0,0,P,442647735,436712600,13,29,980000,13029980000,0,0,P,442860875,436928632,442549592,436618516,99.98,99.98,99.93,99.93,0,0,0,0,0,0
13,29,920300,13029920300,20495,7810,P,369185988,330755471,13,29,980000,13029980000,0,0,P,442860875,436928632,119438,119438,0.03,0.04,0.03,0.03,0,0,0,0,0,0
13,31,990300,13031990300,7988,3423,P,171886492,165648892,13,31,110800,13031110800,2542,1122,P,186825249,177680980,1074362,427218,0.63,0.26,0.58,0.24,0,0,0,0,0,0
13,31,990401,13031990401,3355,1730,P,9638528,9509234,13,31,110404,13031110404,7267,1437,P,6081339,6038188,1274,1274,0.01,0.01,0.02,0.02,0,0,0,0,0,0
13,31,990500,13031990500,4045,1967,P,9654094,9390853,13,31,110602,13031110602,3983,1709,P,140268880,136035983,164,164,0,0,0,0,0,0,0,0,0,0
13,31,990600,13031990600,9909,4354,P,231542161,225461997,13,31,110500,13031110500,4045,1967,P,9656426,9393185,2496,2496,0,0,0.03,0.03,0,0,0,0,0,0
13,31,990800,13031990800,2542,1122,P,185722520,177250000,13,31,110900,13031110900,6950,2796,P,479515695,474065956,13,0,0,0,0,0,0,0,0,0,0,0
13,31,990900,13031990900,6950,2796,P,479555326,474078141,13,31,110700,13031110700,9197,3643,P,294840165,291168292,12087,9246,0,0,0,0,0,0,0,0,0,0
13,31,990900,13031990900,6950,2796,P,479555326,474078141,13,31,110800,13031110800,2542,1122,P,186825249,177680980,27557,2939,0.01,0,0.01,0,0,0,0,0,0,0
13,33,950100,13033950100,5043,2200,P,410466161,405552069,13,33,950700,13033950700,3139,1428,P,432078149,426832499,21609,13128,0.01,0,0.01,0,0,0,0,0,0,0
13,33,950300,13033950300,835,406,P,181016421,180339127,13,33,950400,13033950400,5194,2110,P,228398577,227025776,1506,1506,0,0,0,0,0,0,0,0,0,0
13,33,950400,13033950400,5194,2110,P,228401912,227029111,13,33,950500,13033950500,5350,2129,P,373413146,371184041,4841,4841,0,0,0,0,0,0,0,0,0,0
13,35,150100,13035150100,8355,3701,P,236689019,228563603,13,35,150200,13035150200,8096,3509,P,99209447,98603649,60362,60362,0.03,0.03,0.06,0.06,0,0,0,0,0,0
13,35,150200,13035150200,8096,3509,P,99156255,98550457,13,35,150100,13035150100,8089,3622,P,232024001,223914176,7170,7170,0.01,0.01,0,0,0,0,0,0,0,0
13,35,150301,13035150301,5384,2199,P,154798925,154066540,13,151,70402,13151070402,11459,3946,P,95304828,94878794,1745933,1745933,1.13,1.13,1.83,1.84,0,0,0,0,0,0
13,35,150301,13035150301,5384,2199,P,154798925,154066540,13,255,160200,13255160200,5973,2648,P,90514598,89572364,4223,4223,0,0,0,0,0,0,0,0,0,0
13,35,150301,13035150301,5384,2199,P,154798925,154066540,13,255,161000,13255161000,5549,2200,P,84364096,82976854,222,222,0,0,0,0,0,0,0,0,0,0
13,37,950200,13037950200,3531,1560,P,247236150,246074558,13,61,960300,13061960300,3183,2102,P,562634593,506035709,579658,579658,0.23,0.24,0.1,0.11,0,0,0,0,0,0
13,37,950200,13037950200,3531,1560,P,247236150,246074558,13,99,90100,13099090100,1438,684,P,343142319,342334482,60749,60749,0.02,0.02,0.02,0.02,0,0,0,0,0,0
13,39,10100,13039010100,3114,1657,P,729282933,657792589,13,39,10200,13039010200,5108,2143,P,396835464,341770985,3704316,108379,0.51,0.02,0.93,0.03,0,0,0,0,0,0
13,39,10100,13039010100,3114,1657,P,729282933,657792589,13,49,10100,13049010100,9330,3196,P,1240327226,1225463666,8854,0,0,0,0,0,0,0,0,0,0,0
13,39,10200,13039010200,5108,2143,P,387100011,341662606,13,39,10100,13039010100,3114,1657,P,726028148,657684210,452239,0,0.12,0,0.06,0,0,0,0,0,0,0
13,39,10200,13039010200,5108,2143,P,387100011,341662606,13,39,10500,13039010500,2757,537,P,76920966,60651499,188024,0,0.05,0,0.24,0,0,0,0,0,0,0
13,39,10200,13039010200,5108,2143,P,387100011,341662606,13,39,10602,13039010602,1035,530,P,173027622,114219868,213402,0,0.06,0,0.12,0,0,0,0,0,0,0
13,39,10400,13039010400,19808,7899,P,107972882,99423738,13,39,10301,13039010301,7918,3356,P,74975422,71175387,15737,15737,0.01,0.02,0.02,0.02,0,0,0,0,0,0
13,39,10500,13039010500,2818,563,P,78066574,61230697,13,39,10200,13039010200,5108,2143,P,396835464,341770985,111786,0,0.14,0,0.03,0,0,0,0,0,0,0
13,39,10500,13039010500,2818,563,P,78066574,61230697,13,39,10602,13039010602,1035,530,P,173027622,114219868,1169000,215297,1.5,0.35,0.68,0.19,0,0,0,0,0,0
13,39,10600,13039010600,7360,3655,P,410592600,134849902,13,39,10200,13039010200,5108,2143,P,396835464,341770985,6773016,0,1.65,0,1.71,0,0,0,0,0,0,0
13,39,10600,13039010600,7360,3655,P,410592600,134849902,13,39,10500,13039010500,2757,537,P,76920966,60651499,416274,101164,0.1,0.08,0.54,0.17,0,0,0,0,0,0
